"","Entity","Code","Day","restriction_gatherings"
"131","Mexico","MEX","2020-05-10",3
"132","Mexico","MEX","2020-05-11",3
"133","Mexico","MEX","2020-05-12",3
"134","Mexico","MEX","2020-05-13",3
"135","Mexico","MEX","2020-05-14",3
"136","Mexico","MEX","2020-05-15",3
"137","Mexico","MEX","2020-05-16",3
"138","Mexico","MEX","2020-05-17",3
"139","Mexico","MEX","2020-05-18",3
"140","Mexico","MEX","2020-05-19",3
"141","Mexico","MEX","2020-05-20",3
"142","Mexico","MEX","2020-05-21",3
"143","Mexico","MEX","2020-05-22",3
"144","Mexico","MEX","2020-05-23",3
"145","Mexico","MEX","2020-05-24",3
"146","Mexico","MEX","2020-05-25",3
"147","Mexico","MEX","2020-05-26",3
"148","Mexico","MEX","2020-05-27",3
"149","Mexico","MEX","2020-05-28",3
"150","Mexico","MEX","2020-05-29",3
"151","Mexico","MEX","2020-05-30",3
"152","Mexico","MEX","2020-05-31",3
"153","Mexico","MEX","2020-06-01",3
"154","Mexico","MEX","2020-06-02",3
"155","Mexico","MEX","2020-06-03",3
"156","Mexico","MEX","2020-06-04",3
"157","Mexico","MEX","2020-06-05",3
"158","Mexico","MEX","2020-06-06",3
"159","Mexico","MEX","2020-06-07",3
"160","Mexico","MEX","2020-06-08",3
"161","Mexico","MEX","2020-06-09",3
"162","Mexico","MEX","2020-06-10",3
"163","Mexico","MEX","2020-06-11",3
"164","Mexico","MEX","2020-06-12",3
"165","Mexico","MEX","2020-06-13",3
"166","Mexico","MEX","2020-06-14",3
"167","Mexico","MEX","2020-06-15",3
"168","Mexico","MEX","2020-06-16",3
"169","Mexico","MEX","2020-06-17",3
"170","Mexico","MEX","2020-06-18",3
"171","Mexico","MEX","2020-06-19",3
"172","Mexico","MEX","2020-06-20",3
"173","Mexico","MEX","2020-06-21",3
"174","Mexico","MEX","2020-06-22",3
"175","Mexico","MEX","2020-06-23",3
"176","Mexico","MEX","2020-06-24",3
"177","Mexico","MEX","2020-06-25",3
