"","Entity","Code","Day","cancel_public_events"
"131","Mexico","MEX","2020-05-10",2
"132","Mexico","MEX","2020-05-11",2
"133","Mexico","MEX","2020-05-12",2
"134","Mexico","MEX","2020-05-13",2
"135","Mexico","MEX","2020-05-14",2
"136","Mexico","MEX","2020-05-15",2
"137","Mexico","MEX","2020-05-16",2
"138","Mexico","MEX","2020-05-17",2
"139","Mexico","MEX","2020-05-18",2
"140","Mexico","MEX","2020-05-19",2
"141","Mexico","MEX","2020-05-20",2
"142","Mexico","MEX","2020-05-21",2
"143","Mexico","MEX","2020-05-22",2
"144","Mexico","MEX","2020-05-23",2
"145","Mexico","MEX","2020-05-24",2
"146","Mexico","MEX","2020-05-25",2
"147","Mexico","MEX","2020-05-26",2
"148","Mexico","MEX","2020-05-27",2
"149","Mexico","MEX","2020-05-28",2
"150","Mexico","MEX","2020-05-29",2
"151","Mexico","MEX","2020-05-30",2
"152","Mexico","MEX","2020-05-31",2
"153","Mexico","MEX","2020-06-01",2
"154","Mexico","MEX","2020-06-02",2
"155","Mexico","MEX","2020-06-03",2
"156","Mexico","MEX","2020-06-04",2
"157","Mexico","MEX","2020-06-05",2
"158","Mexico","MEX","2020-06-06",2
"159","Mexico","MEX","2020-06-07",2
"160","Mexico","MEX","2020-06-08",2
"161","Mexico","MEX","2020-06-09",2
"162","Mexico","MEX","2020-06-10",2
"163","Mexico","MEX","2020-06-11",2
"164","Mexico","MEX","2020-06-12",2
"165","Mexico","MEX","2020-06-13",2
"166","Mexico","MEX","2020-06-14",2
"167","Mexico","MEX","2020-06-15",2
"168","Mexico","MEX","2020-06-16",2
"169","Mexico","MEX","2020-06-17",2
"170","Mexico","MEX","2020-06-18",2
"171","Mexico","MEX","2020-06-19",2
"172","Mexico","MEX","2020-06-20",2
"173","Mexico","MEX","2020-06-21",2
"174","Mexico","MEX","2020-06-22",2
"175","Mexico","MEX","2020-06-23",2
"176","Mexico","MEX","2020-06-24",2
"177","Mexico","MEX","2020-06-25",2
"178","Mexico","MEX","2020-06-26",2
"179","Mexico","MEX","2020-06-27",2
"180","Mexico","MEX","2020-06-28",2
"181","Mexico","MEX","2020-06-29",2
"182","Mexico","MEX","2020-06-30",2
"183","Mexico","MEX","2020-07-01",2
"184","Mexico","MEX","2020-07-02",2
"185","Mexico","MEX","2020-07-03",2
"186","Mexico","MEX","2020-07-04",2
"187","Mexico","MEX","2020-07-05",2
"188","Mexico","MEX","2020-07-06",2
"189","Mexico","MEX","2020-07-07",2
"190","Mexico","MEX","2020-07-08",2
"191","Mexico","MEX","2020-07-09",2
"192","Mexico","MEX","2020-07-10",2
"193","Mexico","MEX","2020-07-11",2
"194","Mexico","MEX","2020-07-12",2
"195","Mexico","MEX","2020-07-13",2
"196","Mexico","MEX","2020-07-14",2
"197","Mexico","MEX","2020-07-15",2
"198","Mexico","MEX","2020-07-16",2
"199","Mexico","MEX","2020-07-17",2
"200","Mexico","MEX","2020-07-18",2
"201","Mexico","MEX","2020-07-19",2
"202","Mexico","MEX","2020-07-20",2
"203","Mexico","MEX","2020-07-21",2
"204","Mexico","MEX","2020-07-22",2
"205","Mexico","MEX","2020-07-23",2
"206","Mexico","MEX","2020-07-24",2
"207","Mexico","MEX","2020-07-25",2
"208","Mexico","MEX","2020-07-26",2
"209","Mexico","MEX","2020-07-27",2
"210","Mexico","MEX","2020-07-28",2
"211","Mexico","MEX","2020-07-29",2
"212","Mexico","MEX","2020-07-30",2
"213","Mexico","MEX","2020-07-31",2
"214","Mexico","MEX","2020-08-01",2
"215","Mexico","MEX","2020-08-02",2
"216","Mexico","MEX","2020-08-03",2
"217","Mexico","MEX","2020-08-04",2
"218","Mexico","MEX","2020-08-05",2
"219","Mexico","MEX","2020-08-06",2
"220","Mexico","MEX","2020-08-07",2
"221","Mexico","MEX","2020-08-08",2
"222","Mexico","MEX","2020-08-09",2
"223","Mexico","MEX","2020-08-10",2
"224","Mexico","MEX","2020-08-11",2
"225","Mexico","MEX","2020-08-12",2
"226","Mexico","MEX","2020-08-13",2
"227","Mexico","MEX","2020-08-14",2
"228","Mexico","MEX","2020-08-15",2
"229","Mexico","MEX","2020-08-16",2
"230","Mexico","MEX","2020-08-17",2
"231","Mexico","MEX","2020-08-18",2
"232","Mexico","MEX","2020-08-19",2
"233","Mexico","MEX","2020-08-20",2
"234","Mexico","MEX","2020-08-21",2
"235","Mexico","MEX","2020-08-22",2
"236","Mexico","MEX","2020-08-23",2
"237","Mexico","MEX","2020-08-24",2
"238","Mexico","MEX","2020-08-25",2
"239","Mexico","MEX","2020-08-26",2
"240","Mexico","MEX","2020-08-27",2
"241","Mexico","MEX","2020-08-28",2
"242","Mexico","MEX","2020-08-29",2
"243","Mexico","MEX","2020-08-30",2
"244","Mexico","MEX","2020-08-31",2
"245","Mexico","MEX","2020-09-01",2
"246","Mexico","MEX","2020-09-02",2
"247","Mexico","MEX","2020-09-03",2
"248","Mexico","MEX","2020-09-04",2
"249","Mexico","MEX","2020-09-05",2
"250","Mexico","MEX","2020-09-06",2
"251","Mexico","MEX","2020-09-07",2
"252","Mexico","MEX","2020-09-08",2
"253","Mexico","MEX","2020-09-09",2
"254","Mexico","MEX","2020-09-10",2
"255","Mexico","MEX","2020-09-11",2
"256","Mexico","MEX","2020-09-12",2
"257","Mexico","MEX","2020-09-13",2
"258","Mexico","MEX","2020-09-14",2
"259","Mexico","MEX","2020-09-15",2
"260","Mexico","MEX","2020-09-16",2
"261","Mexico","MEX","2020-09-17",2
"262","Mexico","MEX","2020-09-18",2
"263","Mexico","MEX","2020-09-19",2
"264","Mexico","MEX","2020-09-20",2
"265","Mexico","MEX","2020-09-21",2
"266","Mexico","MEX","2020-09-22",2
"267","Mexico","MEX","2020-09-23",2
"268","Mexico","MEX","2020-09-24",2
"269","Mexico","MEX","2020-09-25",2
"270","Mexico","MEX","2020-09-26",2
"271","Mexico","MEX","2020-09-27",2
"272","Mexico","MEX","2020-09-28",2
"273","Mexico","MEX","2020-09-29",2
"274","Mexico","MEX","2020-09-30",2
"275","Mexico","MEX","2020-10-01",2
"276","Mexico","MEX","2020-10-02",2
"277","Mexico","MEX","2020-10-03",2
"278","Mexico","MEX","2020-10-04",2
"279","Mexico","MEX","2020-10-05",2
"280","Mexico","MEX","2020-10-06",2
"281","Mexico","MEX","2020-10-07",2
"282","Mexico","MEX","2020-10-08",2
"283","Mexico","MEX","2020-10-09",2
"284","Mexico","MEX","2020-10-10",2
"285","Mexico","MEX","2020-10-11",2
"286","Mexico","MEX","2020-10-12",2
"287","Mexico","MEX","2020-10-13",2
"288","Mexico","MEX","2020-10-14",2
"289","Mexico","MEX","2020-10-15",2
"290","Mexico","MEX","2020-10-16",2
"291","Mexico","MEX","2020-10-17",2
"292","Mexico","MEX","2020-10-18",2
"293","Mexico","MEX","2020-10-19",2
"294","Mexico","MEX","2020-10-20",2
"295","Mexico","MEX","2020-10-21",2
"296","Mexico","MEX","2020-10-22",2
"297","Mexico","MEX","2020-10-23",2
"298","Mexico","MEX","2020-10-24",2
"299","Mexico","MEX","2020-10-25",2
"300","Mexico","MEX","2020-10-26",2
"301","Mexico","MEX","2020-10-27",2
"302","Mexico","MEX","2020-10-28",2
"303","Mexico","MEX","2020-10-29",2
"304","Mexico","MEX","2020-10-30",2
"305","Mexico","MEX","2020-10-31",2
"306","Mexico","MEX","2020-11-01",2
"307","Mexico","MEX","2020-11-02",2
"308","Mexico","MEX","2020-11-03",2
"309","Mexico","MEX","2020-11-04",2
"310","Mexico","MEX","2020-11-05",2
"311","Mexico","MEX","2020-11-06",2
"312","Mexico","MEX","2020-11-07",2
"313","Mexico","MEX","2020-11-08",2
"314","Mexico","MEX","2020-11-09",2
"315","Mexico","MEX","2020-11-10",2
"316","Mexico","MEX","2020-11-11",2
"317","Mexico","MEX","2020-11-12",2
"318","Mexico","MEX","2020-11-13",2
"319","Mexico","MEX","2020-11-14",2
"320","Mexico","MEX","2020-11-15",2
"321","Mexico","MEX","2020-11-16",2
"322","Mexico","MEX","2020-11-17",2
"323","Mexico","MEX","2020-11-18",2
"324","Mexico","MEX","2020-11-19",2
"325","Mexico","MEX","2020-11-20",2
"326","Mexico","MEX","2020-11-21",2
"327","Mexico","MEX","2020-11-22",2
"328","Mexico","MEX","2020-11-23",2
"329","Mexico","MEX","2020-11-24",2
"330","Mexico","MEX","2020-11-25",2
"331","Mexico","MEX","2020-11-26",2
"332","Mexico","MEX","2020-11-27",2
"333","Mexico","MEX","2020-11-28",2
"334","Mexico","MEX","2020-11-29",2
"335","Mexico","MEX","2020-11-30",2
"336","Mexico","MEX","2020-12-01",2
"337","Mexico","MEX","2020-12-02",2
"338","Mexico","MEX","2020-12-03",2
"339","Mexico","MEX","2020-12-04",2
"340","Mexico","MEX","2020-12-05",2
"341","Mexico","MEX","2020-12-06",2
"342","Mexico","MEX","2020-12-07",2
"343","Mexico","MEX","2020-12-08",2
"344","Mexico","MEX","2020-12-09",2
"345","Mexico","MEX","2020-12-10",2
"346","Mexico","MEX","2020-12-11",2
"347","Mexico","MEX","2020-12-12",2
"348","Mexico","MEX","2020-12-13",2
"349","Mexico","MEX","2020-12-14",2
"350","Mexico","MEX","2020-12-15",2
"351","Mexico","MEX","2020-12-16",2
"352","Mexico","MEX","2020-12-17",2
"353","Mexico","MEX","2020-12-18",2
"354","Mexico","MEX","2020-12-19",2
"355","Mexico","MEX","2020-12-20",2
"356","Mexico","MEX","2020-12-21",2
"357","Mexico","MEX","2020-12-22",2
"358","Mexico","MEX","2020-12-23",2
"359","Mexico","MEX","2020-12-24",2
"360","Mexico","MEX","2020-12-25",2
"361","Mexico","MEX","2020-12-26",2
"362","Mexico","MEX","2020-12-27",2
"363","Mexico","MEX","2020-12-28",2
"364","Mexico","MEX","2020-12-29",2
"365","Mexico","MEX","2020-12-30",2
"366","Mexico","MEX","2020-12-31",2
"367","Mexico","MEX","2021-01-01",2
"368","Mexico","MEX","2021-01-02",2
"369","Mexico","MEX","2021-01-03",2
"370","Mexico","MEX","2021-01-04",2
"371","Mexico","MEX","2021-01-05",2
"372","Mexico","MEX","2021-01-06",2
"373","Mexico","MEX","2021-01-07",2
"374","Mexico","MEX","2021-01-08",2
"375","Mexico","MEX","2021-01-09",2
"376","Mexico","MEX","2021-01-10",2
"377","Mexico","MEX","2021-01-11",2
"378","Mexico","MEX","2021-01-12",2
"379","Mexico","MEX","2021-01-13",2
"380","Mexico","MEX","2021-01-14",2
"381","Mexico","MEX","2021-01-15",2
"382","Mexico","MEX","2021-01-16",2
"383","Mexico","MEX","2021-01-17",2
"384","Mexico","MEX","2021-01-18",2
"385","Mexico","MEX","2021-01-19",2
"386","Mexico","MEX","2021-01-20",2
"387","Mexico","MEX","2021-01-21",2
"388","Mexico","MEX","2021-01-22",2
"389","Mexico","MEX","2021-01-23",2
"390","Mexico","MEX","2021-01-24",2
"391","Mexico","MEX","2021-01-25",2
"392","Mexico","MEX","2021-01-26",2
"393","Mexico","MEX","2021-01-27",2
"394","Mexico","MEX","2021-01-28",2
"395","Mexico","MEX","2021-01-29",2
"396","Mexico","MEX","2021-01-30",2
"397","Mexico","MEX","2021-01-31",2
"398","Mexico","MEX","2021-02-01",2
"399","Mexico","MEX","2021-02-02",2
"400","Mexico","MEX","2021-02-03",2
"401","Mexico","MEX","2021-02-04",2
"402","Mexico","MEX","2021-02-05",2
"403","Mexico","MEX","2021-02-06",2
"404","Mexico","MEX","2021-02-07",2
"405","Mexico","MEX","2021-02-08",2
"406","Mexico","MEX","2021-02-09",2
"407","Mexico","MEX","2021-02-10",2
"408","Mexico","MEX","2021-02-11",2
"409","Mexico","MEX","2021-02-12",2
"410","Mexico","MEX","2021-02-13",2
"411","Mexico","MEX","2021-02-14",2
"412","Mexico","MEX","2021-02-15",2
"413","Mexico","MEX","2021-02-16",2
"414","Mexico","MEX","2021-02-17",2
"415","Mexico","MEX","2021-02-18",2
"416","Mexico","MEX","2021-02-19",2
"417","Mexico","MEX","2021-02-20",2
"418","Mexico","MEX","2021-02-21",2
"419","Mexico","MEX","2021-02-22",2
"420","Mexico","MEX","2021-02-23",2
"421","Mexico","MEX","2021-02-24",2
"422","Mexico","MEX","2021-02-25",2
"423","Mexico","MEX","2021-02-26",2
"424","Mexico","MEX","2021-02-27",2
"425","Mexico","MEX","2021-02-28",2
"426","Mexico","MEX","2021-03-01",2
"427","Mexico","MEX","2021-03-02",1
"428","Mexico","MEX","2021-03-03",1
"429","Mexico","MEX","2021-03-04",1
"430","Mexico","MEX","2021-03-05",1
"431","Mexico","MEX","2021-03-06",1
"432","Mexico","MEX","2021-03-07",1
"433","Mexico","MEX","2021-03-08",1
"434","Mexico","MEX","2021-03-09",1
"435","Mexico","MEX","2021-03-10",1
"436","Mexico","MEX","2021-03-11",1
"437","Mexico","MEX","2021-03-12",1
"438","Mexico","MEX","2021-03-13",1
"439","Mexico","MEX","2021-03-14",1
"440","Mexico","MEX","2021-03-15",1
"441","Mexico","MEX","2021-03-16",1
"442","Mexico","MEX","2021-03-17",1
"443","Mexico","MEX","2021-03-18",1
"444","Mexico","MEX","2021-03-19",1
"445","Mexico","MEX","2021-03-20",1
"446","Mexico","MEX","2021-03-21",1
"447","Mexico","MEX","2021-03-22",1
"448","Mexico","MEX","2021-03-23",1
"449","Mexico","MEX","2021-03-24",1
"450","Mexico","MEX","2021-03-25",1
"451","Mexico","MEX","2021-03-26",1
"452","Mexico","MEX","2021-03-27",1
"453","Mexico","MEX","2021-03-28",1
"454","Mexico","MEX","2021-03-29",1
"455","Mexico","MEX","2021-03-30",1
"456","Mexico","MEX","2021-03-31",1
"457","Mexico","MEX","2021-04-01",1
"458","Mexico","MEX","2021-04-02",1
"459","Mexico","MEX","2021-04-03",1
"460","Mexico","MEX","2021-04-04",1
"461","Mexico","MEX","2021-04-05",1
"462","Mexico","MEX","2021-04-06",1
"463","Mexico","MEX","2021-04-07",1
"464","Mexico","MEX","2021-04-08",1
"465","Mexico","MEX","2021-04-09",1
"466","Mexico","MEX","2021-04-10",1
"467","Mexico","MEX","2021-04-11",1
"468","Mexico","MEX","2021-04-12",1
"469","Mexico","MEX","2021-04-13",1
"470","Mexico","MEX","2021-04-14",1
"471","Mexico","MEX","2021-04-15",1
"472","Mexico","MEX","2021-04-16",1
"473","Mexico","MEX","2021-04-17",1
"474","Mexico","MEX","2021-04-18",1
"475","Mexico","MEX","2021-04-19",1
"476","Mexico","MEX","2021-04-20",1
"477","Mexico","MEX","2021-04-21",1
"478","Mexico","MEX","2021-04-22",1
"479","Mexico","MEX","2021-04-23",1
"480","Mexico","MEX","2021-04-24",1
"481","Mexico","MEX","2021-04-25",1
"482","Mexico","MEX","2021-04-26",1
"483","Mexico","MEX","2021-04-27",1
"484","Mexico","MEX","2021-04-28",1
"485","Mexico","MEX","2021-04-29",1
"486","Mexico","MEX","2021-04-30",1
"487","Mexico","MEX","2021-05-01",1
"488","Mexico","MEX","2021-05-02",1
"489","Mexico","MEX","2021-05-03",1
"490","Mexico","MEX","2021-05-04",1
"491","Mexico","MEX","2021-05-05",1
"492","Mexico","MEX","2021-05-06",1
"493","Mexico","MEX","2021-05-07",1
"494","Mexico","MEX","2021-05-08",1
"495","Mexico","MEX","2021-05-09",1
"496","Mexico","MEX","2021-05-10",1
"497","Mexico","MEX","2021-05-11",1
"498","Mexico","MEX","2021-05-12",1
"499","Mexico","MEX","2021-05-13",1
"500","Mexico","MEX","2021-05-14",1
"501","Mexico","MEX","2021-05-15",1
"502","Mexico","MEX","2021-05-16",1
"503","Mexico","MEX","2021-05-17",1
"504","Mexico","MEX","2021-05-18",1
"505","Mexico","MEX","2021-05-19",1
"506","Mexico","MEX","2021-05-20",1
"507","Mexico","MEX","2021-05-21",1
"508","Mexico","MEX","2021-05-22",1
"509","Mexico","MEX","2021-05-23",1
"510","Mexico","MEX","2021-05-24",1
"511","Mexico","MEX","2021-05-25",1
"512","Mexico","MEX","2021-05-26",1
"513","Mexico","MEX","2021-05-27",1
"514","Mexico","MEX","2021-05-28",1
"515","Mexico","MEX","2021-05-29",1
"516","Mexico","MEX","2021-05-30",1
"517","Mexico","MEX","2021-05-31",1
"518","Mexico","MEX","2021-06-01",1
"519","Mexico","MEX","2021-06-02",1
"520","Mexico","MEX","2021-06-03",1
"521","Mexico","MEX","2021-06-04",1
"522","Mexico","MEX","2021-06-05",1
"523","Mexico","MEX","2021-06-06",1
"524","Mexico","MEX","2021-06-07",1
"525","Mexico","MEX","2021-06-08",1
"526","Mexico","MEX","2021-06-09",1
"527","Mexico","MEX","2021-06-10",1
"528","Mexico","MEX","2021-06-11",1
"529","Mexico","MEX","2021-06-12",1
"530","Mexico","MEX","2021-06-13",1
"531","Mexico","MEX","2021-06-14",1
"532","Mexico","MEX","2021-06-15",1
"533","Mexico","MEX","2021-06-16",1
"534","Mexico","MEX","2021-06-17",1
"535","Mexico","MEX","2021-06-18",1
"536","Mexico","MEX","2021-06-19",1
"537","Mexico","MEX","2021-06-20",1
"538","Mexico","MEX","2021-06-21",1
"539","Mexico","MEX","2021-06-22",1
"540","Mexico","MEX","2021-06-23",1
"541","Mexico","MEX","2021-06-24",1
"542","Mexico","MEX","2021-06-25",1
"543","Mexico","MEX","2021-06-26",1
"544","Mexico","MEX","2021-06-27",1
"545","Mexico","MEX","2021-06-28",1
"546","Mexico","MEX","2021-06-29",1
"547","Mexico","MEX","2021-06-30",1
"548","Mexico","MEX","2021-07-01",1
"549","Mexico","MEX","2021-07-02",1
"550","Mexico","MEX","2021-07-03",1
"551","Mexico","MEX","2021-07-04",1
"552","Mexico","MEX","2021-07-05",1
"553","Mexico","MEX","2021-07-06",1
"554","Mexico","MEX","2021-07-07",1
"555","Mexico","MEX","2021-07-08",1
"556","Mexico","MEX","2021-07-09",1
"557","Mexico","MEX","2021-07-10",1
"558","Mexico","MEX","2021-07-11",1
"559","Mexico","MEX","2021-07-12",1
"560","Mexico","MEX","2021-07-13",1
"561","Mexico","MEX","2021-07-14",1
"562","Mexico","MEX","2021-07-15",1
"563","Mexico","MEX","2021-07-16",1
"564","Mexico","MEX","2021-07-17",1
"565","Mexico","MEX","2021-07-18",1
"566","Mexico","MEX","2021-07-19",1
"567","Mexico","MEX","2021-07-20",1
"568","Mexico","MEX","2021-07-21",1
"569","Mexico","MEX","2021-07-22",1
"570","Mexico","MEX","2021-07-23",1
"571","Mexico","MEX","2021-07-24",1
"572","Mexico","MEX","2021-07-25",1
"573","Mexico","MEX","2021-07-26",2
"574","Mexico","MEX","2021-07-27",2
"575","Mexico","MEX","2021-07-28",2
"576","Mexico","MEX","2021-07-29",2
"577","Mexico","MEX","2021-07-30",2
"578","Mexico","MEX","2021-07-31",2
"579","Mexico","MEX","2021-08-01",2
"580","Mexico","MEX","2021-08-02",2
"581","Mexico","MEX","2021-08-03",2
"582","Mexico","MEX","2021-08-04",2
"583","Mexico","MEX","2021-08-05",2
"584","Mexico","MEX","2021-08-06",2
"585","Mexico","MEX","2021-08-07",2
"586","Mexico","MEX","2021-08-08",2
"587","Mexico","MEX","2021-08-09",2
"588","Mexico","MEX","2021-08-10",2
"589","Mexico","MEX","2021-08-11",2
"590","Mexico","MEX","2021-08-12",2
"591","Mexico","MEX","2021-08-13",2
"592","Mexico","MEX","2021-08-14",2
"593","Mexico","MEX","2021-08-15",2
"594","Mexico","MEX","2021-08-16",2
"595","Mexico","MEX","2021-08-17",2
"596","Mexico","MEX","2021-08-18",2
"597","Mexico","MEX","2021-08-19",2
"598","Mexico","MEX","2021-08-20",2
"599","Mexico","MEX","2021-08-21",2
"600","Mexico","MEX","2021-08-22",2
"601","Mexico","MEX","2021-08-23",2
"602","Mexico","MEX","2021-08-24",2
"603","Mexico","MEX","2021-08-25",2
"604","Mexico","MEX","2021-08-26",2
"605","Mexico","MEX","2021-08-27",2
"606","Mexico","MEX","2021-08-28",2
"607","Mexico","MEX","2021-08-29",2
"608","Mexico","MEX","2021-08-30",2
"609","Mexico","MEX","2021-08-31",2
"610","Mexico","MEX","2021-09-01",2
"611","Mexico","MEX","2021-09-02",2
"612","Mexico","MEX","2021-09-03",2
"613","Mexico","MEX","2021-09-04",2
"614","Mexico","MEX","2021-09-05",2
"615","Mexico","MEX","2021-09-06",1
"616","Mexico","MEX","2021-09-07",1
"617","Mexico","MEX","2021-09-08",1
"618","Mexico","MEX","2021-09-09",1
"619","Mexico","MEX","2021-09-10",1
"620","Mexico","MEX","2021-09-11",1
"621","Mexico","MEX","2021-09-12",1
"622","Mexico","MEX","2021-09-13",1
"623","Mexico","MEX","2021-09-14",1
"624","Mexico","MEX","2021-09-15",1
"625","Mexico","MEX","2021-09-16",1
"626","Mexico","MEX","2021-09-17",1
"627","Mexico","MEX","2021-09-18",1
"628","Mexico","MEX","2021-09-19",1
"629","Mexico","MEX","2021-09-20",1
"630","Mexico","MEX","2021-09-21",1
"631","Mexico","MEX","2021-09-22",1
"632","Mexico","MEX","2021-09-23",1
"633","Mexico","MEX","2021-09-24",1
"634","Mexico","MEX","2021-09-25",1
"635","Mexico","MEX","2021-09-26",1
"636","Mexico","MEX","2021-09-27",1
"637","Mexico","MEX","2021-09-28",1
"638","Mexico","MEX","2021-09-29",1
"639","Mexico","MEX","2021-09-30",1
"640","Mexico","MEX","2021-10-01",1
"641","Mexico","MEX","2021-10-02",1
"642","Mexico","MEX","2021-10-03",1
"643","Mexico","MEX","2021-10-04",1
"644","Mexico","MEX","2021-10-05",1
"645","Mexico","MEX","2021-10-06",1
"646","Mexico","MEX","2021-10-07",1
"647","Mexico","MEX","2021-10-08",1
"648","Mexico","MEX","2021-10-09",1
"649","Mexico","MEX","2021-10-10",1
"650","Mexico","MEX","2021-10-11",1
"651","Mexico","MEX","2021-10-12",1
"652","Mexico","MEX","2021-10-13",1
"653","Mexico","MEX","2021-10-14",1
"654","Mexico","MEX","2021-10-15",1
"655","Mexico","MEX","2021-10-16",1
"656","Mexico","MEX","2021-10-17",1
"657","Mexico","MEX","2021-10-18",1
"658","Mexico","MEX","2021-10-19",1
"659","Mexico","MEX","2021-10-20",1
"660","Mexico","MEX","2021-10-21",1
"661","Mexico","MEX","2021-10-22",1
"662","Mexico","MEX","2021-10-23",1
"663","Mexico","MEX","2021-10-24",1
"664","Mexico","MEX","2021-10-25",1
